X,Y,id
-0.152622122,51.50879643,94412
-0.1525939,51.51124395,94413
-0.152351862,51.5088814,94414
-0.152556728,51.50939476,94415
-0.151771364,51.51081261,94416
-0.152385998,51.5106799,94417
-0.151893279,51.51206062,94418
-0.152135671,51.51021146,94419
-0.151710812,51.51081963,94420
-0.151740433,51.5089419,94421
-0.152041907,51.51003465,94422
-0.152017037,51.50998679,94423
-0.151599208,51.50913284,94424
-0.151231703,51.51091634,94425
-0.151544317,51.50901645,94426
-0.151307245,51.50918461,94427
-0.151531219,51.50894456,94428
-0.151362916,51.50883301,94429
-0.151030352,51.51222331,94430
-0.153670428,51.51515878,94431
-0.153822079,51.51390903,94432
-0.153730159,51.51370983,94433
-0.153593613,51.51392439,94434
-0.152732244,51.51370206,94435
-0.153548884,51.51326731,94436
-0.15327835,51.5127324,94437
-0.153166053,51.51256118,94438
-0.153176051,51.51244551,94439
-0.152393746,51.5136444,94440
-0.152094688,51.51304326,94441
-0.151845442,51.51319957,94442
-0.151907682,51.5152365,94443
-0.151994598,51.51281353,94444
-0.151449842,51.51302882,94445
-0.151937452,51.51266527,94446
-0.151792872,51.51523882,94447
-0.151840779,51.51508364,94448
-0.151429306,51.51275688,94449
-0.151827016,51.51372487,94450
-0.15143563,51.51427315,94451
-0.151369887,51.51487955,94452
-0.151019884,51.51335356,94453
-0.151076763,51.51354847,94454
-0.151189185,51.51418865,94455
-0.150754937,51.51498994,94456
-0.150982051,51.51478079,94457
-0.150959457,51.51329749,94458
-0.150890322,51.51315598,94459
-0.150665688,51.51506544,94460
-0.150875223,51.51310713,94461
-0.154799859,51.49887925,94462
-0.154967861,51.49658836,94463
-0.154714705,51.49776507,94464
-0.15479232,51.49939206,94465
-0.154635094,51.4968092,94466
-0.154679241,51.49761972,94467
-0.154331541,51.49859663,94468
-0.154588415,51.49764556,94469
-0.154593583,51.49759354,94470
-0.153925183,51.49802724,94471
-0.154095507,51.4962179,94472
-0.154086934,51.49840492,94473
-0.15347348,51.49835587,94474
-0.153744784,51.49815625,94475
-0.153490171,51.49689442,94476
-0.153272033,51.49740724,94477
-0.153561485,51.49809112,94478
-0.153277074,51.49802112,94479
-0.153273616,51.49821642,94480
-0.152954948,51.49653121,94481
-0.153033452,51.49691112,94482
-0.152891845,51.4985428,94483
-0.152324074,51.496773,94484
-0.152391634,51.49743133,94485
-0.152153787,51.49803544,94486
-0.15226394,51.49889738,94487
-0.152211706,51.49914003,94488
-0.151839622,51.49706013,94489
-0.15092424,51.49819727,94490
-0.151625216,51.49892759,94491
-0.151747479,51.49699064,94492
-0.154972012,51.50136407,94493
-0.155125903,51.49931888,94494
-0.154543806,51.50077024,94495
-0.154217948,51.49978293,94496
-0.154334607,51.50126579,94497
-0.154405385,51.50150803,94498
-0.154073668,51.50047218,94499
-0.153734182,51.50025414,94500
-0.153982949,51.50045788,94501
-0.153824191,51.50166641,94502
-0.153867446,51.50000707,94503
-0.153224537,51.49999371,94504
-0.153621284,51.50039214,94505
-0.153254161,51.50182349,94506
-0.153532283,51.5007287,94507
-0.153545972,51.50081588,94508
-0.153474684,51.50109853,94509
-0.153377325,51.50028013,94510
-0.152879053,51.49988083,94511
-0.152968136,51.50042461,94512
-0.153154694,51.50151052,94513
-0.152376648,51.50153446,94514
-0.152782409,51.49981662,94515
-0.152492605,51.50071299,94516
-0.15188892,51.50023728,94517
