X,Y,id
-0.030758657,51.68221507,3019
-0.011141834,51.67489111,3146
-0.033418309,51.68248694,4092
-0.035225903,51.68239123,4093
-0.042692009,51.68278512,4345
-0.042971566,51.68279916,4346
-0.042859787,51.68279205,4347
-0.051233151,51.68345712,4582
-0.050362897,51.68315319,4585
-0.052568793,51.68285717,4586
-0.05275654,51.68264926,4587
-0.051035287,51.68289933,4588
-0.050908603,51.68268601,4589
-0.050810086,51.6825927,4590
-0.050081114,51.68377942,4591
-0.049526081,51.68236168,4592
-0.049203819,51.68398417,4593
-0.049191733,51.68408116,4595
-0.048651102,51.6840002,4597
-0.04864357,51.68392819,4598
-0.044677312,51.68266677,4599
-0.048093894,51.68344218,4600
-0.045157978,51.68317805,4602
-0.060694173,51.68075066,5018
-0.078558183,51.6829195,5233
-0.085894243,51.68305096,5234
-0.106598491,51.68443156,5494
-0.105996186,51.68384599,5495
-0.103327844,51.68368691,5496
-0.104651039,51.686186,5497
-0.101878357,51.6836021,5498
-0.102694303,51.68343902,5499
-0.101808543,51.68268234,5500
-0.099882512,51.68350302,5501
-0.096172081,51.68447875,5502
-0.098974237,51.68397256,5503
-0.098864796,51.68618934,5504
-0.098474972,51.68245057,5505
-0.115054072,51.6865159,5535
-0.111614523,51.68455952,5536
-0.109643533,51.68497124,5537
-0.107490513,51.68394792,5538
-0.106939368,51.68388768,5539
-0.105769468,51.69156058,5540
-0.116969551,51.68793506,5541
-0.112461628,51.68861995,5542
-0.098466141,51.68988407,5544
-0.09977881,51.68827511,5545
-0.163301555,51.68781362,5620
-0.163516212,51.68782619,5632
-0.163365219,51.68782383,5633
-0.160898372,51.68479586,5679
-0.158609626,51.68548432,5680
-0.154182871,51.68153852,5681
0.221218523,51.62659022,17773
0.220563297,51.62615153,17774
0.21911575,51.62589902,17775
0.217161864,51.62661703,17777
0.217636221,51.62696124,17778
0.217128915,51.62809241,17779
0.215977436,51.6270563,17780
0.215504311,51.62722975,17781
0.218943387,51.6277541,17782
0.222231863,51.6276433,17783
0.221775565,51.62770766,17784
0.21912402,51.62854355,17785
0.221998924,51.6248359,17795
0.225033775,51.61965769,17796
0.224669145,51.61591368,17797
0.223658682,51.62870157,17798
0.223314876,51.62877635,17799
0.223711202,51.62916447,17800
0.225152696,51.63012755,17801
0.225519359,51.61545371,17802
0.226226626,51.61614642,17803
0.226663289,51.61518513,17804
0.227036949,51.61498108,17805
0.22837916,51.62172292,17806
0.227221069,51.61664273,17807
0.227394944,51.61616193,17808
0.227867561,51.61535319,17809
0.227821184,51.61552796,17810
0.227840701,51.61589269,17811
0.228127349,51.61516817,17812
0.232128455,51.62541465,17813
0.214174712,51.61640591,17814
0.212929465,51.62005887,17815
0.213889965,51.62007907,17816
0.213972298,51.61980732,17817
0.214524916,51.62040378,17818
0.214833361,51.62309344,17819
0.21464537,51.61998104,17820
0.214618257,51.61955752,17821
0.214714885,51.61599946,17822
0.214529417,51.61626029,17823
0.21480655,51.619285,17824
0.214675874,51.61887378,17825
0.216965164,51.617729,17826
0.216780865,51.61552217,17827
0.216921429,51.61543059,17828
0.217079713,51.61550926,17829
0.2182804,51.61628098,17830
0.219866534,51.61669194,17831
0.218531745,51.6165635,17832
0.218760732,51.61657436,17833
0.219484254,51.61699354,17834
0.219845686,51.61526641,17835
0.220183084,51.62551939,17836
0.220811175,51.61579066,17837
0.220255808,51.61530747,17838
0.220449622,51.61752591,17839
0.221308903,51.61756498,17840
0.221750653,51.61642032,17841
0.221073429,51.61550844,17842
0.221411839,51.6160084,17843
0.222164064,51.61590531,17844
0.171039139,51.61937863,17845
0.181295555,51.61640205,17846
0.181826527,51.61642831,17847
0.182605065,51.61843235,17848
0.182618951,51.61666185,17849
0.183341714,51.61645549,17850
0.183799668,51.61654925,17851
0.183688838,51.61588426,17852
0.184574926,51.61598888,17853
0.187210701,51.61633017,17854
0.187111468,51.62307049,17855
0.186803853,51.6223075,17856
0.186777302,51.62275034,17857
